"index","REF_DATE","GEO","value","status_year"
"0","2021","Abbotsford - Mission (CMA), B.C.","3378477","1980"
"1","2021","Alberta","49350279","1980"
"2","2021","Barrie (CMA), Ont.","3960250","1980"
"3","2021","Belleville - Quinte West (CMA), Ont.","1538001","1980"
"4","2021","Brantford (CMA), Ont.","2680709","1980"
"5","2021","British Columbia","108164610","1980"
"6","2021","Calgary (CMA), Alta.","20835311","1980"
"7","2021","Chilliwack (CMA), B.C.","2204267","1980"
"8","2021","Drummondville (CMA), Que.","129911","1980"
"9","2021","Edmonton (CMA), Alta.","18604027","1980"
"10","2021","Fredericton (CMA), N.B.","652937","1980"
"11","2021","Greater Sudbury (CMA), Ont.","1684900","1980"
"12","2021","Guelph (CMA), Ont.","3303479","1980"
"13","2021","Halifax (CMA), N.S.","3374005","1980"
"14","2021","Hamilton (CMA), Ont.","21905680","1980"
"15","2021","Kamloops (CMA), B.C.","1649578","1980"
"16","2021","Kelowna (CMA), B.C.","4044921","1980"
"17","2021","Kingston (CMA), Ont.","2998311","1980"
"18","2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","11051618","1980"
"19","2021","Lethbridge (CMA), Alta.","1577311","1980"
"20","2021","London (CMA), Ont.","10788311","1980"
"21","2021","Manitoba","15166423","1980"
"22","2021","Moncton (CMA), N.B.","679348","1980"
"23","2021","Montréal (CMA), Que.","63705600","1980"
"24","2021","Nanaimo (CMA), B.C.","2529455","1980"
"25","2021","New Brunswick","3737311","1980"
"26","2021","Newfoundland and Labrador","1267297","1980"
"27","2021","Northwest Territories","223563","1980"
"28","2021","Nova Scotia","6438712","1980"
"29","2021","Nunavut","53460","1980"
"30","2021","Ontario","333914773","1980"
"31","2021","Oshawa (CMA), Ont.","9378890","1980"
"32","2021","Ottawa - Gatineau (CMA), Ont./Que.","19548229","1980"
"33","2021","Ottawa - Gatineau (Ontario part) (CMA), Ont.","17937080","1980"
"34","2021","Ottawa - Gatineau (Quebec part) (CMA), Que.","1641695","1980"
"35","2021","Peterborough (CMA), Ont.","1874075","1980"
"36","2021","Prince Edward Island","848092","1980"
"37","2021","Quebec","73594886","1980"
"38","2021","Québec (CMA), Que.","1670938","1980"
"39","2021","Red Deer (CMA), Alta.","685739","1980"
"40","2021","Regina (CMA), Sask.","1588990","1980"
"41","2021","Saguenay (CMA), Que.","101544","1980"
"42","2021","Saint John (CMA), N.B.","753245","1980"
"43","2021","Saskatchewan","4930783","1980"
"44","2021","Saskatoon (CMA), Sask.","1739796","1980"
"45","2021","Sherbrooke (CMA), Que.","683199","1980"
"46","2021","St. Catharines - Niagara (CMA), Ont.","11751461","1980"
"47","2021","St. John's (CMA), N.L.","688936","1980"
"48","2021","Thunder Bay (CMA), Ont.","2099664","1980"
"49","2021","Toronto (CMA), Ont.","184279550","1980"
"50","2021","Trois-Rivières (CMA), Que.","243685","1980"
"51","2021","Vancouver (CMA), B.C.","61159442","1980"
"52","2021","Victoria (CMA), B.C.","9850309","1980"
"53","2021","Windsor (CMA), Ont.","9046515","1980"
"54","2021","Winnipeg (CMA), Man.","12318486","1980"
"55","2021","Yukon","444590","1980"
"56","2021","Abbotsford - Mission (CMA), B.C.","2026752","1990"
"57","2021","Alberta","34402687","1990"
"58","2021","Barrie (CMA), Ont.","1609688","1990"
"59","2021","Belleville - Quinte West (CMA), Ont.","372886","1990"
"60","2021","Brantford (CMA), Ont.","964198","1990"
"61","2021","British Columbia","61913778","1990"
"62","2021","Calgary (CMA), Alta.","16609247","1990"
"63","2021","Chilliwack (CMA), B.C.","722355","1990"
"64","2021","Drummondville (CMA), Que.","87237","1990"
"65","2021","Edmonton (CMA), Alta.","13894423","1990"
"66","2021","Fredericton (CMA), N.B.","184948","1990"
"67","2021","Greater Sudbury (CMA), Ont.","290461","1990"
"68","2021","Guelph (CMA), Ont.","1659781","1990"
"69","2021","Halifax (CMA), N.S.","1354416","1990"
"70","2021","Hamilton (CMA), Ont.","8684526","1990"
"71","2021","Kamloops (CMA), B.C.","424691","1990"
"72","2021","Kelowna (CMA), B.C.","1332982","1990"
"73","2021","Kingston (CMA), Ont.","852725","1990"
"74","2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","6304715","1990"
"75","2021","Lethbridge (CMA), Alta.","554163","1990"
"76","2021","London (CMA), Ont.","5239391","1990"
"77","2021","Manitoba","8019731","1990"
"78","2021","Moncton (CMA), N.B.","188331","1990"
"79","2021","Montréal (CMA), Que.","42056258","1990"
"80","2021","Nanaimo (CMA), B.C.","745611","1990"
"81","2021","New Brunswick","990300","1990"
"82","2021","Newfoundland and Labrador","327448","1990"
"83","2021","Northwest Territories","127163","1990"
"84","2021","Nova Scotia","2046035","1990"
"85","2021","Nunavut","25704","1990"
"86","2021","Ontario","190899363","1990"
"87","2021","Oshawa (CMA), Ont.","4005332","1990"
"88","2021","Ottawa - Gatineau (CMA), Ont./Que.","13298677","1990"
"89","2021","Ottawa - Gatineau (Ontario part) (CMA), Ont.","11844879","1990"
"90","2021","Ottawa - Gatineau (Quebec part) (CMA), Que.","1479193","1990"
"91","2021","Peterborough (CMA), Ont.","486270","1990"
"92","2021","Prince Edward Island","257234","1990"
"93","2021","Quebec","47432494","1990"
"94","2021","Québec (CMA), Que.","1193620","1990"
"95","2021","Red Deer (CMA), Alta.","438905","1990"
"96","2021","Regina (CMA), Sask.","736931","1990"
"97","2021","Saguenay (CMA), Que.","54446","1990"
"98","2021","Saint John (CMA), N.B.","204021","1990"
"99","2021","Saskatchewan","2240721","1990"
