"REF_DATE","GEO","price_indexes","house_price"
"1981-01","Canada","Total (house and land)","38.2"
"1981-01","Canada","House only","36.1"
"1981-01","Canada","Land only","40.6"
"1981-01","Atlantic Region","Total (house and land)",""
"1981-01","Atlantic Region","House only",""
"1981-01","Atlantic Region","Land only",""
"1981-01","Newfoundland and Labrador","Total (house and land)",""
"1981-01","Newfoundland and Labrador","House only",""
"1981-01","Newfoundland and Labrador","Land only",""
"1981-01","St. John's, Newfoundland and Labrador","Total (house and land)","36.1"
"1981-01","St. John's, Newfoundland and Labrador","House only","37.5"
"1981-01","St. John's, Newfoundland and Labrador","Land only","31.4"
"1981-01","Prince Edward Island","Total (house and land)",""
"1981-01","Prince Edward Island","House only",""
"1981-01","Prince Edward Island","Land only",""
"1981-01","Charlottetown, Prince Edward Island","Total (house and land)",""
"1981-01","Charlottetown, Prince Edward Island","House only",""
"1981-01","Charlottetown, Prince Edward Island","Land only",""
"1981-01","Nova Scotia","Total (house and land)",""
"1981-01","Nova Scotia","House only",""
"1981-01","Nova Scotia","Land only",""
"1981-01","Halifax, Nova Scotia","Total (house and land)",""
"1981-01","Halifax, Nova Scotia","House only",""
"1981-01","Halifax, Nova Scotia","Land only","32.5"
"1981-01","New Brunswick","Total (house and land)",""
"1981-01","New Brunswick","House only",""
"1981-01","New Brunswick","Land only",""
"1981-01","Saint John, Fredericton, and Moncton, New Brunswick","Total (house and land)","55.9"
"1981-01","Saint John, Fredericton, and Moncton, New Brunswick","House only","61.4"
"1981-01","Saint John, Fredericton, and Moncton, New Brunswick","Land only","38.0"
"1981-01","Quebec","Total (house and land)",""
"1981-01","Quebec","House only",""
"1981-01","Quebec","Land only",""
"1981-01","Québec, Quebec","Total (house and land)","30.1"
"1981-01","Québec, Quebec","House only","34.9"
"1981-01","Québec, Quebec","Land only","19.8"
"1981-01","Sherbrooke, Quebec","Total (house and land)",""
"1981-01","Sherbrooke, Quebec","House only",""
"1981-01","Sherbrooke, Quebec","Land only",""
"1981-01","Trois-Rivières, Quebec","Total (house and land)",""
"1981-01","Trois-Rivières, Quebec","House only",""
"1981-01","Trois-Rivières, Quebec","Land only",""
"1981-01","Montréal, Quebec","Total (house and land)","28.5"
"1981-01","Montréal, Quebec","House only","30.0"
"1981-01","Montréal, Quebec","Land only","20.3"
"1981-01","Ottawa-Gatineau, Quebec part, Ontario/Quebec","Total (house and land)",""
